name,wikidata_qid,evidence
Mosquito,Q1529454,"the Glasflügel 303 Mosquito. Our wing area 9.85 m²; the article's 9.86 m². One square centimetre is not a coincidence — but the names share neither a word nor a number, so no rule will ever reach it."
LS-8-15,Q2163993,"Rolladen-Schneider LS8. Wikipedia's search offers the SCHLEICHER K 8 first, on their shared digit 8, and it is a glider, so a description check waves it through. The right article is the second hit. A human read both."
LS-8-18,Q2163993,"as LS-8-15: the item is the AIRCRAFT, and the 18 m tips are a configuration of it. The span stays empty — the article states the LS8's, not the LS8-18's."
Antares 18S,Q1804903,"Lange Antares. The item is right and the wing area disagrees (10.97 m² against the article's 12.6) because the article describes the 20E. A failure of CONFIGURATION, which no area check can tell from a failure of IDENTITY."
Antares 18T,Q1804903,"as Antares 18S."
Phoebus C,Q1019853,"Bölkow Phoebus. Same shape: the item is right, and the C's wing is larger than the one the article measures (14.06 m² against 13.16)."
VT-116,Q1777845,"Orličan VT-16 Orlík — and the article's Variants section names the VT-116 Orlík II explicitly, with more than 50 built. The item is the aircraft; the article gives no span for the VT-116, so ours stays empty. Checked by a human against the article, 2026-07-14."
604,Q1529457,"Glasflügel 604. https://en.wikipedia.org/wiki/Glasflügel_604 — supplied and checked by the maintainer, 2026-07-14. The bare number `604` is unsearchable: Wikipedia answers it with a disambiguation page, Wikidata with an asteroid."
ASW28-18,Q445098,"Schleicher ASW 28. https://en.wikipedia.org/wiki/Schleicher_ASW_28 — the item is the AIRCRAFT; the 18 m tips are a configuration of it."
Blanik L23,Q868793,"LET L-23 Super Blaník. https://en.wikipedia.org/wiki/LET_L-23_Super_Blaník — NOT the L-13 Blaník, which is a different aircraft and the one every search returns first."
Std Cirrus,Q938444,"Schempp-Hirth Standard Cirrus. https://en.wikipedia.org/wiki/Schempp-Hirth_Standard_Cirrus — the word `cirrus` also names a business jet and a helicopter, and both outrank the glider in every search."
EB_28_Edition,Q863610,"Binder EB28. https://en.wikipedia.org/wiki/Binder_EB28 — the Edition is a variant of the EB 28 the article describes; the item is the aircraft."
H-201 Std Libelle,Q5566714,"Glasflügel 201 Standard Libelle. https://en.wikipedia.org/wiki/Glasflügel_H-201 — distinct from the 205 Club Libelle and the H-301, which share its name and not its wing."
ICP_Savannah,Q5969706,"ICP Savannah. https://en.wikipedia.org/wiki/ICP_Savannah — a powered MICROLIGHT, and Wikidata says so: `ultralight aircraft`. It is in this file because LK8000 ships its polar, and it is classed `microlight` because it is not a sailplane."
IS-28B2 Lark with 1 person,Q12060660,"ICA IS-28. https://en.wikipedia.org/wiki/ICA_IS-28 — the two rows are one aircraft at two pilot loadings."
IS-28B2 Lark with 2 person,Q12060660,"as above: the same aircraft, flown with a passenger."
Ka8b,Q1666190,"Schleicher K 8. https://en.wikipedia.org/wiki/Schleicher_K_8 — and this closes a loop: Q1666190 is the very item our LS-8-15 was once wrongly matched to, on nothing but a shared digit 8. It now belongs to the glider that actually IS a K 8."
Lak17A-15,Q2312589,"LAK-17. https://en.wikipedia.org/wiki/LAK-17 — a FAMILY of sailplanes, and the 15 m and 18 m rows are two configurations of it. Both point here; neither takes a span from it."
Lak17A-18,Q2312589,"as Lak17A-15."
LS-10s_15m,Q2163977,"DG Flugzeugbau LS10. https://en.wikipedia.org/wiki/DG_Flugzeugbau_LS10 — the item is the aircraft; 15 m and 18 m are its tips."
LS-10s_18m,Q2163977,"as LS-10s_15m."
LS-1C,Q2163975,"Rolladen-Schneider LS1. https://en.wikipedia.org/wiki/Rolladen-Schneider_LS1 — a single-token name a search cannot reach."
LS-4a,Q544661,"Rolladen-Schneider LS4. https://en.wikipedia.org/wiki/Rolladen-Schneider_LS4 — searching `LS-4a glider` returns a LIST article, which has a QID and is not an aircraft."
Nimbus 3,Q17145988,"Schempp-Hirth Nimbus-3. https://en.wikipedia.org/wiki/Schempp-Hirth_Nimbus-3 — every search answers `Nimbus 3` with the CLOUD, the Roman god and a Pauly-Wissowa entry."
SF27,Q1438762,"Scheibe SF-27. https://en.wikipedia.org/wiki/Scheibe_SF-27 — NOT the Scheibe SF 32, which is what the search returns and which our own digit rule correctly refused (27 ∉ {32})."
SZD-38A Jantar 1,Q7395316,"SZD-38 Jantar 1. https://en.wikipedia.org/wiki/SZD-38_Jantar_1"
SZD-42A Jantar 2,Q2044896,"SZD-42 Jantar 2. https://en.wikipedia.org/wiki/SZD-42_Jantar_2"
